sample_id,project_id,assembly_id,sample_name,latitude_and_longitude,location,species,data_type,download
CNS0704244,CNP0004049,CNA0063526,GOMC.bin.3941,37.29 N 32.28 W,Atlantic Ocean,d__Bacteria;p__Desulfobacterota;c__Dissulfuribacteria;o__Dissulfuribacterales;f__QOAL01;g__QOAL01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704244/
CNS0710085,CNP0004049,CNA0065627,GOMC.bin.11487,41.16 N 8.62 E,Atlantic Ocean,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__Bacillaceae_B;g__Rossellomorea;s__Rossellomorea aquimaris_D,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710085/
CNS0703689,CNP0004049,CNA0060408,GOMC.bin.3386,9.85 N 104.30 W,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__JAFGXI01;g__JAFGXI01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0703689/
CNS0712913,CNP0004049,CNA0067137,GOMC.bin.14398,10.62 N 65.17 W,Atlantic Ocean,d__Bacteria;p__Delongbacteria;c__UBA4055;o__CAIWAD01;f__BS150m-G50;g__BS150m-G50;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712913/
CNS0705711,CNP0004049,CNA0062062,GOMC.bin.5485,77.90 S 161.57 E,Southern Ocean,d__Bacteria;p__Chloroflexota;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0705711/
CNS0701225,CNP0004049,CNA0055737,GOMC.bin.752,18.55 N 81.72 W,Atlantic Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__QNZT01;g__SZUA-1377;s__SZUA-1377 sp015663225,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701225/
CNS0708627,CNP0004049,CNA0058165,GOMC.bin.9849,29.12 N 90.76 W,Atlantic Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA4486;f__UBA4486;g__SZUA-592;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708627/
CNS0710160,CNP0004049,CNA0065968,GOMC.bin.11562,51.64 N 9.71 W,Atlantic Ocean,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710160/
CNS0712433,CNP0004049,CNA0067363,GOMC.bin.13918,48.58 N 123.50 W,Pacific Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__M50B96;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712433/
CNS0713400,CNP0004049,CNA0067803,GOMC.bin.14885,41.58 N 70.64 W,Atlantic Ocean,d__Bacteria;p__Thermotogota;c__Thermotogae;o__MWEM01;f__MWEM01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713400/
CNS0701717,CNP0004049,CNA0057299,GOMC.bin.1254,73.76 N 8.46 E,Arctic Ocean,d__Archaea;p__Asgardarchaeota;c__Lokiarchaeia;o__CR-4;f__SOKP01;g__Loki-b32;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701717/
CNS0702258,CNP0004049,CNA0060262,GOMC.bin.1795,10.86 N 141.98 E,Pacific Ocean,d__Bacteria;p__KSB1;c__UBA2214;o__CR04bin15;f__CR04bin15;g__N075bin58;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702258/
CNS0708335,CNP0004049,CNA0065865,GOMC.bin.9554,41.91 N 71.57 W,Atlantic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__ECT2AJA-044;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0708335/
CNS0713677,CNP0004049,CNA0068080,GOMC.bin.15177,34.07 S 151.15 E,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0713677/
CNS0704073,CNP0004049,CNA0062533,GOMC.bin.3770,21.99 S 176.57 W,Pacific Ocean,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__B4-G1;f__SLSP01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704073/
CNS0712648,CNP0004049,CNA0066296,GOMC.bin.14133,10.62 N 65.17 W,Atlantic Ocean,d__Bacteria;p__Myxococcota;c__UBA9042;o__CAIXZC01;f__CAIXZC01;g__;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0712648/
CNS0709618,CNP0004049,CNA0063524,GOMC.bin.10962,50.00 N 145.00 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0709618/
CNS0702063,CNP0004049,CNA0059138,GOMC.bin.1600,34.86 S 179.06 E,Pacific Ocean,d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9983_A;f__UBA2100;g__S139-169;s__S139-169 sp015491055,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702063/
CNS0704038,CNP0004049,CNA0062369,GOMC.bin.3735,20.76 S 176.19 W,Pacific Ocean,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__UBA3077;s__UBA3077 sp015487255,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704038/
CNS0710014,CNP0004049,CNA0065340,GOMC.bin.11416,64.82 S 64.04 W,Southern Ocean,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__GM7GCV1;g__JABJGI01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0710014/
CNS0701618,CNP0004049,CNA0056898,GOMC.bin.1155,22.80 N 46.05 W,Atlantic Ocean,d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__UBA1565;f__UBA1565;g__UBA1565;s__UBA1565 sp002401485,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0701618/
CNS0702170,CNP0004049,CNA0059806,GOMC.bin.1707,34.86 S 179.06 E,Pacific Ocean,d__Bacteria;p__Desulfobacterota;c__GWC2-55-46;o__GWC2-55-46;f__DRQE01;g__DRQE01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0702170/
CNS0716404,CNP0004049,CNA0054698,GOMC.bin.10855,53.99 N 6.89 E,Atlantic Ocean,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__NS11-12g;f__UBA955;g__VMCP01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0716404/
CNS0704443,CNP0004049,CNA0064578,GOMC.bin.4140,47.57 N 129.59 W,Pacific Ocean,d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__JAADDG01;g__JAADDG01;s__,Public,https://ftp.cngb.org/pub/CNSA/data2/CNP0004049/CNS0704443/
