locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEEMPGII_00001	CDS	681				hypothetical protein
OEEMPGII_00002	CDS	948	guaAB	6.3.5.2	COG0519	GMP synthase [glutamine-hydrolyzing] subunit B
OEEMPGII_00003	CDS	477	purE	5.4.99.18	COG0041	N5-carboxyaminoimidazole ribonucleotide mutase
OEEMPGII_00004	CDS	741				hypothetical protein
OEEMPGII_00005	CDS	906				hypothetical protein
OEEMPGII_00006	CDS	3555				hypothetical protein
OEEMPGII_00007	CDS	6480				hypothetical protein
OEEMPGII_00008	CDS	942				hypothetical protein
OEEMPGII_00009	CDS	333			COG0051	30S ribosomal protein S10
OEEMPGII_00010	CDS	1290	tuf_1		COG5256	Elongation factor 1-alpha
OEEMPGII_00011	CDS	261				hypothetical protein
OEEMPGII_00012	CDS	549				hypothetical protein
OEEMPGII_00013	CDS	483				hypothetical protein
OEEMPGII_00014	CDS	1353	murE	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase
OEEMPGII_00015	CDS	2214				hypothetical protein
OEEMPGII_00016	CDS	1284	serS	6.1.1.11	COG0172	Serine--tRNA ligase
OEEMPGII_00017	CDS	507				hypothetical protein
OEEMPGII_00018	CDS	1542	pycA_1	6.4.1.1	COG0439	Pyruvate carboxylase subunit A
OEEMPGII_00019	CDS	870		4.2.1.116	COG1024	3-hydroxypropionyl-coenzyme A dehydratase
OEEMPGII_00020	CDS	1611	pccB_1	6.4.1.3		Propionyl-CoA carboxylase, carboxyltransferase subunit
OEEMPGII_00021	CDS	1401				hypothetical protein
OEEMPGII_00022	CDS	756		5.2.1.8	COG1047	Putative FKBP-type peptidyl-prolyl cis-trans isomerase
OEEMPGII_00023	CDS	2532	ccsA			Cytochrome c biogenesis protein CcsA
OEEMPGII_00024	CDS	1236		1.3.7.11	COG0644	Digeranylgeranylglycerophospholipid reductase
OEEMPGII_00025	CDS	2148	ubiD_1	4.1.1.98		3-octaprenyl-4-hydroxybenzoate carboxy-lyase
OEEMPGII_00026	CDS	870	COQ2	2.5.1.39		4-hydroxybenzoate polyprenyltransferase, mitochondrial
OEEMPGII_00027	CDS	729	rhaD_1	1.1.1.377	COG1028	L-rhamnose 1-dehydrogenase (NADP(+))
OEEMPGII_00028	CDS	2412	uvrB			UvrABC system protein B
OEEMPGII_00029	CDS	891	gshB_1	6.3.2.3		Glutathione synthetase
OEEMPGII_00030	CDS	1038		2.5.-.-		Deoxyhypusine synthase-like protein
OEEMPGII_00031	CDS	669				hypothetical protein
OEEMPGII_00032	CDS	1338	lysJ	2.6.1.-	COG4992	[LysW]-aminoadipate semialdehyde/glutamate semialdehyde transaminase
OEEMPGII_00033	CDS	591				hypothetical protein
OEEMPGII_00034	tRNA	77				tRNA-Ile(gat)
OEEMPGII_00035	CDS	942	prs	2.7.6.1	COG0462	Ribose-phosphate pyrophosphokinase
OEEMPGII_00036	CDS	384	rpl7ae		COG1358	50S ribosomal protein L7Ae
OEEMPGII_00037	CDS	279				hypothetical protein
OEEMPGII_00038	CDS	192			COG2075	50S ribosomal protein L24e
OEEMPGII_00039	CDS	447	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
OEEMPGII_00040	CDS	1806	infB		COG0532	putative translation initiation factor IF-2
OEEMPGII_00041	CDS	981				hypothetical protein
OEEMPGII_00042	CDS	960				hypothetical protein
OEEMPGII_00043	CDS	243				hypothetical protein
OEEMPGII_00044	CDS	249				hypothetical protein
OEEMPGII_00045	CDS	1332	tatC_1			Sec-independent protein translocase protein TatC
OEEMPGII_00046	CDS	1011				hypothetical protein
OEEMPGII_00047	CDS	1446				hypothetical protein
OEEMPGII_00048	CDS	324				hypothetical protein
OEEMPGII_00049	CDS	1164	ald	1.4.1.1	COG0686	Alanine dehydrogenase
OEEMPGII_00050	CDS	939	mdh	1.1.1.37	COG0039	Malate dehydrogenase
OEEMPGII_00051	CDS	762				hypothetical protein
OEEMPGII_00052	CDS	759				hypothetical protein
OEEMPGII_00053	CDS	3531				hypothetical protein
OEEMPGII_00054	CDS	5712				hypothetical protein
OEEMPGII_00055	CDS	624				hypothetical protein
OEEMPGII_00056	CDS	6384				hypothetical protein
OEEMPGII_00057	CDS	1293		3.3.1.-	COG0499	S-inosyl-L-homocysteine hydrolase
OEEMPGII_00058	CDS	396				hypothetical protein
OEEMPGII_00059	CDS	1008				hypothetical protein
OEEMPGII_00060	CDS	450				hypothetical protein
OEEMPGII_00061	CDS	315				hypothetical protein
OEEMPGII_00062	CDS	564				hypothetical protein
OEEMPGII_00063	CDS	696	purN	2.1.2.2		Phosphoribosylglycinamide formyltransferase
OEEMPGII_00064	CDS	441				hypothetical protein
OEEMPGII_00065	CDS	1395				hypothetical protein
OEEMPGII_00066	CDS	792				hypothetical protein
OEEMPGII_00067	CDS	1434				hypothetical protein
OEEMPGII_00068	CDS	798				hypothetical protein
OEEMPGII_00069	CDS	366				hypothetical protein
OEEMPGII_00070	CDS	2271				hypothetical protein
OEEMPGII_00071	CDS	1035	fcl_1	1.1.1.271		GDP-L-fucose synthase
OEEMPGII_00072	CDS	801	pyrF	4.1.1.23	COG0284	Orotidine 5'-phosphate decarboxylase
OEEMPGII_00073	CDS	303				hypothetical protein
OEEMPGII_00074	CDS	1182				hypothetical protein
OEEMPGII_00075	CDS	636				hypothetical protein
OEEMPGII_00076	CDS	375				hypothetical protein
OEEMPGII_00077	CDS	1431	ftsY			Signal recognition particle receptor FtsY
OEEMPGII_00078	CDS	519	pfdA			Prefoldin subunit alpha
OEEMPGII_00079	CDS	735				hypothetical protein
OEEMPGII_00080	CDS	999		3.4.21.-	COG1067	Archaeal Lon protease
OEEMPGII_00081	CDS	1368	mdtG			Multidrug resistance protein MdtG
OEEMPGII_00082	CDS	819				hypothetical protein
OEEMPGII_00083	CDS	999				hypothetical protein
OEEMPGII_00084	CDS	267				hypothetical protein
OEEMPGII_00085	CDS	567				hypothetical protein
OEEMPGII_00086	CDS	744	gloB_1	3.1.2.6		Hydroxyacylglutathione hydrolase
OEEMPGII_00087	CDS	147			COG1552	50S ribosomal protein L40e
OEEMPGII_00088	CDS	279				hypothetical protein
OEEMPGII_00089	CDS	1302	PURA	6.3.4.4		Adenylosuccinate synthetase, organellar chromatophore
OEEMPGII_00090	CDS	156				hypothetical protein
OEEMPGII_00091	CDS	1059	tfb			Transcription initiation factor IIB
OEEMPGII_00092	CDS	498				hypothetical protein
OEEMPGII_00093	CDS	13869				hypothetical protein
OEEMPGII_00094	CDS	699				hypothetical protein
OEEMPGII_00095	CDS	2595				hypothetical protein
OEEMPGII_00096	CDS	1242				hypothetical protein
OEEMPGII_00097	CDS	363				hypothetical protein
OEEMPGII_00098	CDS	1920	menF	5.4.4.2		Isochorismate synthase MenF
OEEMPGII_00099	CDS	1311				hypothetical protein
OEEMPGII_00100	CDS	2292				hypothetical protein
OEEMPGII_00101	CDS	1722				hypothetical protein
OEEMPGII_00102	CDS	723				hypothetical protein
OEEMPGII_00103	CDS	1938	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
OEEMPGII_00104	CDS	621				hypothetical protein
OEEMPGII_00105	CDS	195				hypothetical protein
OEEMPGII_00106	CDS	507				hypothetical protein
OEEMPGII_00107	CDS	318				hypothetical protein
OEEMPGII_00108	CDS	900				hypothetical protein
OEEMPGII_00109	CDS	552				hypothetical protein
OEEMPGII_00110	CDS	1524				hypothetical protein
OEEMPGII_00111	CDS	1458		1.2.1.22	COG1012	Lactaldehyde dehydrogenase
OEEMPGII_00112	CDS	927				hypothetical protein
OEEMPGII_00113	CDS	390				hypothetical protein
OEEMPGII_00114	CDS	207				hypothetical protein
OEEMPGII_00115	CDS	555	rpoE1	2.7.7.6	COG1095	DNA-directed RNA polymerase subunit E'
OEEMPGII_00116	CDS	5685				hypothetical protein
OEEMPGII_00117	CDS	702				hypothetical protein
OEEMPGII_00118	CDS	912	purC	6.3.2.6		Phosphoribosylaminoimidazole-succinocarboxamide synthase
OEEMPGII_00119	CDS	456				hypothetical protein
OEEMPGII_00120	CDS	1149	ftsZ_1			Cell division protein FtsZ
OEEMPGII_00121	CDS	222				hypothetical protein
OEEMPGII_00122	CDS	591			COG1632	50S ribosomal protein L15e
OEEMPGII_00123	CDS	261				hypothetical protein
OEEMPGII_00124	CDS	1095	rnz	3.1.26.11	COG1234	Ribonuclease Z
OEEMPGII_00125	CDS	2532				hypothetical protein
OEEMPGII_00126	CDS	405				hypothetical protein
OEEMPGII_00127	CDS	1005	corA		COG0598	Cobalt/magnesium transport protein CorA
OEEMPGII_00128	CDS	321				hypothetical protein
