locus_tag	ftype	length_bp	gene	EC_number	COG	product
DGGDHDNJ_00001	CDS	531				hypothetical protein
DGGDHDNJ_00002	CDS	189				hypothetical protein
DGGDHDNJ_00003	CDS	390				hypothetical protein
DGGDHDNJ_00004	tRNA	78				tRNA-Pro(tgg)
DGGDHDNJ_00005	CDS	1272				hypothetical protein
DGGDHDNJ_00006	CDS	567				hypothetical protein
DGGDHDNJ_00007	CDS	1914	dxs_1	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
DGGDHDNJ_00008	CDS	237	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
DGGDHDNJ_00009	CDS	1176	pta_1	2.3.1.8	COG0280	Phosphate acetyltransferase
DGGDHDNJ_00010	CDS	1071	pta_2	2.3.1.8	COG0280	Phosphate acetyltransferase
DGGDHDNJ_00011	CDS	1554	murJ_1		COG0728	Lipid II flippase MurJ
DGGDHDNJ_00012	CDS	153				hypothetical protein
DGGDHDNJ_00013	CDS	807	oppF		COG4608	Oligopeptide transport ATP-binding protein OppF
DGGDHDNJ_00014	CDS	264				hypothetical protein
DGGDHDNJ_00015	CDS	594	ylaC			RNA polymerase sigma factor YlaC
DGGDHDNJ_00016	CDS	447	ybeY	3.1.-.-		Endoribonuclease YbeY
DGGDHDNJ_00017	tRNA	88				tRNA-Arg(gcg)
DGGDHDNJ_00018	CDS	951			COG1702	PhoH-like protein
DGGDHDNJ_00019	CDS	540		2.7.7.53	COG0537	AP-4-A phosphorylase
DGGDHDNJ_00020	CDS	1056				hypothetical protein
DGGDHDNJ_00021	CDS	1479	glgA	2.4.1.21	COG0297	Glycogen synthase
DGGDHDNJ_00022	CDS	591				hypothetical protein
DGGDHDNJ_00023	CDS	570				hypothetical protein
DGGDHDNJ_00024	CDS	930	lipA	2.8.1.8	COG0320	Lipoyl synthase
DGGDHDNJ_00025	CDS	1335	lipB	2.3.1.181		Octanoyltransferase
DGGDHDNJ_00026	CDS	1596				hypothetical protein
DGGDHDNJ_00027	CDS	1140	metXA_1	2.3.1.31	COG2021	Homoserine O-acetyltransferase
DGGDHDNJ_00028	CDS	612	metXA_2		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW
DGGDHDNJ_00029	CDS	1080				hypothetical protein
DGGDHDNJ_00030	CDS	1836			COG0659	putative sulfate transporter
DGGDHDNJ_00031	CDS	783	hisN	3.1.3.15	COG0483	Histidinol-phosphatase
DGGDHDNJ_00032	CDS	1020	tas		COG0667	Protein tas
DGGDHDNJ_00033	CDS	873	folP	2.5.1.15		Dihydropteroate synthase
DGGDHDNJ_00034	CDS	1428	luxQ	2.7.13.3		Autoinducer 2 sensor kinase/phosphatase LuxQ
DGGDHDNJ_00035	CDS	2442	rnr	3.1.13.1	COG0557	Ribonuclease R
DGGDHDNJ_00036	CDS	1071				hypothetical protein
DGGDHDNJ_00037	CDS	588				putative protein
DGGDHDNJ_00038	CDS	1011				hypothetical protein
DGGDHDNJ_00039	CDS	519	msrA_1	1.8.4.11	COG0225	Peptide methionine sulfoxide reductase MsrA
DGGDHDNJ_00040	CDS	267				hypothetical protein
DGGDHDNJ_00041	tRNA	87				tRNA-Leu(taa)
DGGDHDNJ_00042	CDS	1659	rpsA		COG0539	30S ribosomal protein S1
DGGDHDNJ_00043	CDS	987	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
DGGDHDNJ_00044	CDS	198				hypothetical protein
DGGDHDNJ_00045	CDS	2124	dbpA	3.6.4.13		ATP-dependent RNA helicase DbpA
DGGDHDNJ_00046	tRNA	75				tRNA-Arg(cct)
DGGDHDNJ_00047	CDS	594				hypothetical protein
DGGDHDNJ_00048	CDS	2103	gspD2			Secretin GspD 2
DGGDHDNJ_00049	CDS	552				hypothetical protein
DGGDHDNJ_00050	CDS	1287				hypothetical protein
DGGDHDNJ_00051	CDS	1170				hypothetical protein
DGGDHDNJ_00052	CDS	1035				hypothetical protein
DGGDHDNJ_00053	CDS	510				hypothetical protein
DGGDHDNJ_00054	CDS	537				hypothetical protein
DGGDHDNJ_00055	CDS	453	pulG			Type II secretion system protein G
DGGDHDNJ_00056	CDS	453	vraR_1			Response regulator protein VraR
DGGDHDNJ_00057	CDS	969				hypothetical protein
DGGDHDNJ_00058	CDS	1203				hypothetical protein
DGGDHDNJ_00059	CDS	2184				hypothetical protein
DGGDHDNJ_00060	CDS	453	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
DGGDHDNJ_00061	CDS	966	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
DGGDHDNJ_00062	CDS	789	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
DGGDHDNJ_00063	CDS	837				hypothetical protein
DGGDHDNJ_00064	CDS	825				hypothetical protein
